[2026-05-13--22-43-36 INFO actix_server::builder] starting 5 workers
[2026-05-13--22-43-36 INFO actix_server::server] Tokio runtime found; starting in existing Tokio runtime
[2026-05-13--22-43-36 INFO actix_server::server] starting service: "actix-web-service-127.0.0.1:18488", workers: 5, listening on: 127.0.0.1:18488
[2026-05-13--22-43-36 INFO parity_ws] Listening for new connections on 127.0.0.1:8900.
[2026-05-13--22-43-37 INFO surfpool::cli::simnet] Datasource connection successful. Epoch 971 / Slot index 27593 / Slot 419499593.
[2026-05-13--22-43-37 INFO surfpool::cli::simnet] Account 5QhtQhJsQpUKKmjXiieZsRW8GF2j87VwcX6U8HvGxPdg updated.
[2026-05-13--22-43-37 INFO surfpool::cli::simnet] Genesis airdrop successful 5QhtQhJsQpUKKmjXiieZsRW8GF2j87VwcX6U8HvGxPdg: 10000000000000
[2026-05-13--22-43-59 INFO surfpool::cli::simnet] Account 9ypxGLzkMxi89eDerRKXWDXe44UY2z4hBig4mDhNq5Dp updated.
[2026-05-13--22-43-59 INFO surfpool::cli::simnet] Account JE86WkYvTrzW8HgNmrHY7dFYpCmSptUpKupbo2AdQ9cG updated.
[2026-05-13--22-43-59 INFO surfpool::cli::simnet] Account GDH5TVdbTPUpRnXaRyQqiKUa7uZAbZ28Q2N9bhbKoMLm updated.
[2026-05-13--22-43-59 INFO surfpool::cli::simnet] Account DeS7sR48ZcFTUmt5FFEVDr1v1bh73aAbZiZq3SYr8Eh8 updated.
[2026-05-13--22-43-59 INFO surfpool::cli::simnet] Account zkdoVwnSFnSLtGJG7irJPEYUpmb4i7sGMGcnN6T9rnC updated.
[2026-05-13--22-43-59 INFO surfpool::cli::simnet] Account ptokFjwyJtrwCa9Kgo9xoDS59V4QccBGEaRFnRPnSdP updated.
[2026-05-13--22-43-59 INFO surfpool::cli::simnet] Account rexav5eNTUSNT1K2N7cfRjnthwhcP5BC25v2tA4rW4h updated.
[2026-05-13--22-44-00 INFO surfpool::cli::simnet] Account 7bTK6Jis8Xpfrs8ZoUfiMDPazTcdPcTWheZFJTA5Z6X4 updated.
[2026-05-13--22-44-00 INFO surfpool::cli::simnet] Account 4WeHX6QoXCCwqbSFgi6dxnB6QsPo6YApaNTH7P4MLQ99 updated.
[2026-05-13--22-44-00 INFO parity_ws::io] Accepted a new tcp connection from 127.0.0.1:43100.
[2026-05-13--22-44-00 WARN surfpool::cli::simnet] Websocket method 'slots_updates_subscribe' is uninmplemented
[2026-05-13--22-44-12 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-12 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-12 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-13 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-13 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-13 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-13 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-13 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-13 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-13 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-13 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-13 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-13 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-14 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-14 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-14 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-14 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-14 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-14 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-14 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-14 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-14 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-15 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-15 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-15 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-15 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-15 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-15 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-15 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-15 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-15 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-16 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-16 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-16 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-16 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-16 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-16 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-16 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-16 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-17 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-17 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-17 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-17 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-17 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-17 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-17 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-17 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-18 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-18 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-18 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-18 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-18 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-18 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-18 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-19 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-19 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-19 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-19 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-19 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-19 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-20 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-20 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-20 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-20 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-20 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-20 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-20 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-20 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-21 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-21 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-21 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-21 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-21 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-21 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-21 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-21 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-22 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-22 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-22 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-22 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-22 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-22 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-22 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-22 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-23 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-23 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-23 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-23 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-23 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-23 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-23 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-23 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-24 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-24 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-24 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-24 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-24 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-24 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-24 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-24 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-24 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-24 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-24 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-24 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-25 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-25 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-25 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-25 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-25 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-25 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-25 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-25 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-25 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-25 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-25 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-25 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-26 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-26 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-26 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-26 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-26 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-26 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-26 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-26 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-26 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-26 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-26 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-26 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-26 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-26 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-27 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-27 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-27 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-27 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-27 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-27 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-53 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-53 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-53 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-53 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-53 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-53 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-53 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-53 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-53 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-54 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-54 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-54 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-54 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-54 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-54 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-54 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-54 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-54 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-54 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-54 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-55 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-55 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-55 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-55 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-55 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-55 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-55 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-55 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-55 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-55 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-56 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-56 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-56 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
[2026-05-13--22-44-56 ERROR surfpool::cli::simnet] Transaction simulation failed: Blockhash not found
